"subject" "activity" "variable" "mean"
"1700" 5 "standing" "tBodyGyroMeanY" 20
"1701" 5 "standing" "tBodyGyroMeanZ" 21
"1702" 5 "standing" "tBodyGyroStdX" 22
"1703" 5 "standing" "tBodyGyroStdY" 23
"1704" 5 "standing" "tBodyGyroStdZ" 24
"1705" 5 "standing" "tBodyGyroJerkMeanX" 25
"1706" 5 "standing" "tBodyGyroJerkMeanY" 26
"1707" 5 "standing" "tBodyGyroJerkMeanZ" 27
"1708" 5 "standing" "tBodyGyroJerkStdX" 28
"1709" 5 "standing" "tBodyGyroJerkStdY" 29
"1710" 5 "standing" "tBodyGyroJerkStdZ" 30
"1711" 5 "standing" "tBodyAccMagMean" 31
"1712" 5 "standing" "tBodyAccMagStd" 32
"1713" 5 "standing" "tGravityAccMagMean" 33
"1714" 5 "standing" "tGravityAccMagStd" 34
"1715" 5 "standing" "tBodyAccJerkMagMean" 35
"1716" 5 "standing" "tBodyAccJerkMagStd" 36
"1717" 5 "standing" "tBodyGyroMagMean" 37
"1718" 5 "standing" "tBodyGyroMagStd" 38
"1719" 5 "standing" "tBodyGyroJerkMagMean" 39
"1720" 5 "standing" "tBodyGyroJerkMagStd" 40
"1721" 5 "standing" "fBodyAccMeanX" 41
"1722" 5 "standing" "fBodyAccMeanY" 42
"1723" 5 "standing" "fBodyAccMeanZ" 43
"1724" 5 "standing" "fBodyAccStdX" 44
"1725" 5 "standing" "fBodyAccStdY" 45
"1726" 5 "standing" "fBodyAccStdZ" 46
"1727" 5 "standing" "fBodyAccJerkMeanX" 47
"1728" 5 "standing" "fBodyAccJerkMeanY" 48
"1729" 5 "standing" "fBodyAccJerkMeanZ" 49
"1730" 5 "standing" "fBodyAccJerkStdX" 50
"1731" 5 "standing" "fBodyAccJerkStdY" 51
"1732" 5 "standing" "fBodyAccJerkStdZ" 52
"1733" 5 "standing" "fBodyGyroMeanX" 53
"1734" 5 "standing" "fBodyGyroMeanY" 54
"1735" 5 "standing" "fBodyGyroMeanZ" 55
"1736" 5 "standing" "fBodyGyroStdX" 56
"1737" 5 "standing" "fBodyGyroStdY" 57
"1738" 5 "standing" "fBodyGyroStdZ" 58
"1739" 5 "standing" "fBodyAccMagMean" 59
"1740" 5 "standing" "fBodyAccMagStd" 60
"1741" 5 "laying" "tBodyAccMeanX" 1
"1742" 5 "laying" "tBodyAccMeanY" 2
"1743" 5 "laying" "tBodyAccMeanZ" 3
"1744" 5 "laying" "tBodyAccStdX" 4
"1745" 5 "laying" "tBodyAccStdY" 5
"1746" 5 "laying" "tBodyAccStdZ" 6
"1747" 5 "laying" "tGravityAccMeanX" 7
"1748" 5 "laying" "tGravityAccMeanY" 8
"1749" 5 "laying" "tGravityAccMeanZ" 9
"1750" 5 "laying" "tGravityAccStdX" 10
"1751" 5 "laying" "tGravityAccStdY" 11
"1752" 5 "laying" "tGravityAccStdZ" 12
"1753" 5 "laying" "tBodyAccJerkMeanX" 13
"1754" 5 "laying" "tBodyAccJerkMeanY" 14
"1755" 5 "laying" "tBodyAccJerkMeanZ" 15
"1756" 5 "laying" "tBodyAccJerkStdX" 16
"1757" 5 "laying" "tBodyAccJerkStdY" 17
"1758" 5 "laying" "tBodyAccJerkStdZ" 18
"1759" 5 "laying" "tBodyGyroMeanX" 19
"1760" 5 "laying" "tBodyGyroMeanY" 20
"1761" 5 "laying" "tBodyGyroMeanZ" 21
"1762" 5 "laying" "tBodyGyroStdX" 22
"1763" 5 "laying" "tBodyGyroStdY" 23
"1764" 5 "laying" "tBodyGyroStdZ" 24
"1765" 5 "laying" "tBodyGyroJerkMeanX" 25
"1766" 5 "laying" "tBodyGyroJerkMeanY" 26
"1767" 5 "laying" "tBodyGyroJerkMeanZ" 27
"1768" 5 "laying" "tBodyGyroJerkStdX" 28
"1769" 5 "laying" "tBodyGyroJerkStdY" 29
"1770" 5 "laying" "tBodyGyroJerkStdZ" 30
"1771" 5 "laying" "tBodyAccMagMean" 31
"1772" 5 "laying" "tBodyAccMagStd" 32
"1773" 5 "laying" "tGravityAccMagMean" 33
"1774" 5 "laying" "tGravityAccMagStd" 34
"1775" 5 "laying" "tBodyAccJerkMagMean" 35
"1776" 5 "laying" "tBodyAccJerkMagStd" 36
"1777" 5 "laying" "tBodyGyroMagMean" 37
"1778" 5 "laying" "tBodyGyroMagStd" 38
"1779" 5 "laying" "tBodyGyroJerkMagMean" 39
"1780" 5 "laying" "tBodyGyroJerkMagStd" 40
"1781" 5 "laying" "fBodyAccMeanX" 41
"1782" 5 "laying" "fBodyAccMeanY" 42
"1783" 5 "laying" "fBodyAccMeanZ" 43
"1784" 5 "laying" "fBodyAccStdX" 44
"1785" 5 "laying" "fBodyAccStdY" 45
"1786" 5 "laying" "fBodyAccStdZ" 46
"1787" 5 "laying" "fBodyAccJerkMeanX" 47
"1788" 5 "laying" "fBodyAccJerkMeanY" 48
"1789" 5 "laying" "fBodyAccJerkMeanZ" 49
"1790" 5 "laying" "fBodyAccJerkStdX" 50
"1791" 5 "laying" "fBodyAccJerkStdY" 51
"1792" 5 "laying" "fBodyAccJerkStdZ" 52
"1793" 5 "laying" "fBodyGyroMeanX" 53
"1794" 5 "laying" "fBodyGyroMeanY" 54
"1795" 5 "laying" "fBodyGyroMeanZ" 55
"1796" 5 "laying" "fBodyGyroStdX" 56
"1797" 5 "laying" "fBodyGyroStdY" 57
"1798" 5 "laying" "fBodyGyroStdZ" 58
"1799" 5 "laying" "fBodyAccMagMean" 59
"1800" 5 "laying" "fBodyAccMagStd" 60
"1801" 6 "walking" "tBodyAccMeanX" 1
"1802" 6 "walking" "tBodyAccMeanY" 2
"1803" 6 "walking" "tBodyAccMeanZ" 3
"1804" 6 "walking" "tBodyAccStdX" 4
"1805" 6 "walking" "tBodyAccStdY" 5
"1806" 6 "walking" "tBodyAccStdZ" 6
"1807" 6 "walking" "tGravityAccMeanX" 7
"1808" 6 "walking" "tGravityAccMeanY" 8
"1809" 6 "walking" "tGravityAccMeanZ" 9
"1810" 6 "walking" "tGravityAccStdX" 10
"1811" 6 "walking" "tGravityAccStdY" 11
"1812" 6 "walking" "tGravityAccStdZ" 12
"1813" 6 "walking" "tBodyAccJerkMeanX" 13
"1814" 6 "walking" "tBodyAccJerkMeanY" 14
"1815" 6 "walking" "tBodyAccJerkMeanZ" 15
"1816" 6 "walking" "tBodyAccJerkStdX" 16
"1817" 6 "walking" "tBodyAccJerkStdY" 17
"1818" 6 "walking" "tBodyAccJerkStdZ" 18
"1819" 6 "walking" "tBodyGyroMeanX" 19
"1820" 6 "walking" "tBodyGyroMeanY" 20
"1821" 6 "walking" "tBodyGyroMeanZ" 21
"1822" 6 "walking" "tBodyGyroStdX" 22
"1823" 6 "walking" "tBodyGyroStdY" 23
"1824" 6 "walking" "tBodyGyroStdZ" 24
"1825" 6 "walking" "tBodyGyroJerkMeanX" 25
"1826" 6 "walking" "tBodyGyroJerkMeanY" 26
"1827" 6 "walking" "tBodyGyroJerkMeanZ" 27
"1828" 6 "walking" "tBodyGyroJerkStdX" 28
"1829" 6 "walking" "tBodyGyroJerkStdY" 29
"1830" 6 "walking" "tBodyGyroJerkStdZ" 30
"1831" 6 "walking" "tBodyAccMagMean" 31
"1832" 6 "walking" "tBodyAccMagStd" 32
"1833" 6 "walking" "tGravityAccMagMean" 33
"1834" 6 "walking" "tGravityAccMagStd" 34
"1835" 6 "walking" "tBodyAccJerkMagMean" 35
"1836" 6 "walking" "tBodyAccJerkMagStd" 36
"1837" 6 "walking" "tBodyGyroMagMean" 37
"1838" 6 "walking" "tBodyGyroMagStd" 38
"1839" 6 "walking" "tBodyGyroJerkMagMean" 39
"1840" 6 "walking" "tBodyGyroJerkMagStd" 40
"1841" 6 "walking" "fBodyAccMeanX" 41
"1842" 6 "walking" "fBodyAccMeanY" 42
"1843" 6 "walking" "fBodyAccMeanZ" 43
"1844" 6 "walking" "fBodyAccStdX" 44
"1845" 6 "walking" "fBodyAccStdY" 45
"1846" 6 "walking" "fBodyAccStdZ" 46
"1847" 6 "walking" "fBodyAccJerkMeanX" 47
"1848" 6 "walking" "fBodyAccJerkMeanY" 48
"1849" 6 "walking" "fBodyAccJerkMeanZ" 49
"1850" 6 "walking" "fBodyAccJerkStdX" 50
"1851" 6 "walking" "fBodyAccJerkStdY" 51
"1852" 6 "walking" "fBodyAccJerkStdZ" 52
"1853" 6 "walking" "fBodyGyroMeanX" 53
"1854" 6 "walking" "fBodyGyroMeanY" 54
"1855" 6 "walking" "fBodyGyroMeanZ" 55
"1856" 6 "walking" "fBodyGyroStdX" 56
"1857" 6 "walking" "fBodyGyroStdY" 57
"1858" 6 "walking" "fBodyGyroStdZ" 58
"1859" 6 "walking" "fBodyAccMagMean" 59
"1860" 6 "walking" "fBodyAccMagStd" 60
"1861" 6 "walkingUpstairs" "tBodyAccMeanX" 1
"1862" 6 "walkingUpstairs" "tBodyAccMeanY" 2
"1863" 6 "walkingUpstairs" "tBodyAccMeanZ" 3
"1864" 6 "walkingUpstairs" "tBodyAccStdX" 4
"1865" 6 "walkingUpstairs" "tBodyAccStdY" 5
"1866" 6 "walkingUpstairs" "tBodyAccStdZ" 6
"1867" 6 "walkingUpstairs" "tGravityAccMeanX" 7
"1868" 6 "walkingUpstairs" "tGravityAccMeanY" 8
"1869" 6 "walkingUpstairs" "tGravityAccMeanZ" 9
"1870" 6 "walkingUpstairs" "tGravityAccStdX" 10
"1871" 6 "walkingUpstairs" "tGravityAccStdY" 11
"1872" 6 "walkingUpstairs" "tGravityAccStdZ" 12
"1873" 6 "walkingUpstairs" "tBodyAccJerkMeanX" 13
"1874" 6 "walkingUpstairs" "tBodyAccJerkMeanY" 14
"1875" 6 "walkingUpstairs" "tBodyAccJerkMeanZ" 15
"1876" 6 "walkingUpstairs" "tBodyAccJerkStdX" 16
"1877" 6 "walkingUpstairs" "tBodyAccJerkStdY" 17
"1878" 6 "walkingUpstairs" "tBodyAccJerkStdZ" 18
"1879" 6 "walkingUpstairs" "tBodyGyroMeanX" 19
"1880" 6 "walkingUpstairs" "tBodyGyroMeanY" 20
"1881" 6 "walkingUpstairs" "tBodyGyroMeanZ" 21
"1882" 6 "walkingUpstairs" "tBodyGyroStdX" 22
"1883" 6 "walkingUpstairs" "tBodyGyroStdY" 23
"1884" 6 "walkingUpstairs" "tBodyGyroStdZ" 24
"1885" 6 "walkingUpstairs" "tBodyGyroJerkMeanX" 25
"1886" 6 "walkingUpstairs" "tBodyGyroJerkMeanY" 26
"1887" 6 "walkingUpstairs" "tBodyGyroJerkMeanZ" 27
"1888" 6 "walkingUpstairs" "tBodyGyroJerkStdX" 28
"1889" 6 "walkingUpstairs" "tBodyGyroJerkStdY" 29
"1890" 6 "walkingUpstairs" "tBodyGyroJerkStdZ" 30
"1891" 6 "walkingUpstairs" "tBodyAccMagMean" 31
"1892" 6 "walkingUpstairs" "tBodyAccMagStd" 32
"1893" 6 "walkingUpstairs" "tGravityAccMagMean" 33
"1894" 6 "walkingUpstairs" "tGravityAccMagStd" 34
"1895" 6 "walkingUpstairs" "tBodyAccJerkMagMean" 35
"1896" 6 "walkingUpstairs" "tBodyAccJerkMagStd" 36
"1897" 6 "walkingUpstairs" "tBodyGyroMagMean" 37
"1898" 6 "walkingUpstairs" "tBodyGyroMagStd" 38
"1899" 6 "walkingUpstairs" "tBodyGyroJerkMagMean" 39
"1900" 6 "walkingUpstairs" "tBodyGyroJerkMagStd" 40
"1901" 6 "walkingUpstairs" "fBodyAccMeanX" 41
"1902" 6 "walkingUpstairs" "fBodyAccMeanY" 42
"1903" 6 "walkingUpstairs" "fBodyAccMeanZ" 43
"1904" 6 "walkingUpstairs" "fBodyAccStdX" 44
"1905" 6 "walkingUpstairs" "fBodyAccStdY" 45
"1906" 6 "walkingUpstairs" "fBodyAccStdZ" 46
"1907" 6 "walkingUpstairs" "fBodyAccJerkMeanX" 47
"1908" 6 "walkingUpstairs" "fBodyAccJerkMeanY" 48
"1909" 6 "walkingUpstairs" "fBodyAccJerkMeanZ" 49
"1910" 6 "walkingUpstairs" "fBodyAccJerkStdX" 50
"1911" 6 "walkingUpstairs" "fBodyAccJerkStdY" 51
"1912" 6 "walkingUpstairs" "fBodyAccJerkStdZ" 52
"1913" 6 "walkingUpstairs" "fBodyGyroMeanX" 53
"1914" 6 "walkingUpstairs" "fBodyGyroMeanY" 54
"1915" 6 "walkingUpstairs" "fBodyGyroMeanZ" 55
"1916" 6 "walkingUpstairs" "fBodyGyroStdX" 56
"1917" 6 "walkingUpstairs" "fBodyGyroStdY" 57
"1918" 6 "walkingUpstairs" "fBodyGyroStdZ" 58
"1919" 6 "walkingUpstairs" "fBodyAccMagMean" 59
"1920" 6 "walkingUpstairs" "fBodyAccMagStd" 60
"1921" 6 "walkingDownstairs" "tBodyAccMeanX" 1
"1922" 6 "walkingDownstairs" "tBodyAccMeanY" 2
"1923" 6 "walkingDownstairs" "tBodyAccMeanZ" 3
"1924" 6 "walkingDownstairs" "tBodyAccStdX" 4
"1925" 6 "walkingDownstairs" "tBodyAccStdY" 5
"1926" 6 "walkingDownstairs" "tBodyAccStdZ" 6
"1927" 6 "walkingDownstairs" "tGravityAccMeanX" 7
"1928" 6 "walkingDownstairs" "tGravityAccMeanY" 8
"1929" 6 "walkingDownstairs" "tGravityAccMeanZ" 9
"1930" 6 "walkingDownstairs" "tGravityAccStdX" 10
"1931" 6 "walkingDownstairs" "tGravityAccStdY" 11
"1932" 6 "walkingDownstairs" "tGravityAccStdZ" 12
"1933" 6 "walkingDownstairs" "tBodyAccJerkMeanX" 13
"1934" 6 "walkingDownstairs" "tBodyAccJerkMeanY" 14
"1935" 6 "walkingDownstairs" "tBodyAccJerkMeanZ" 15
"1936" 6 "walkingDownstairs" "tBodyAccJerkStdX" 16
"1937" 6 "walkingDownstairs" "tBodyAccJerkStdY" 17
"1938" 6 "walkingDownstairs" "tBodyAccJerkStdZ" 18
"1939" 6 "walkingDownstairs" "tBodyGyroMeanX" 19
"1940" 6 "walkingDownstairs" "tBodyGyroMeanY" 20
"1941" 6 "walkingDownstairs" "tBodyGyroMeanZ" 21
"1942" 6 "walkingDownstairs" "tBodyGyroStdX" 22
"1943" 6 "walkingDownstairs" "tBodyGyroStdY" 23
"1944" 6 "walkingDownstairs" "tBodyGyroStdZ" 24
"1945" 6 "walkingDownstairs" "tBodyGyroJerkMeanX" 25
"1946" 6 "walkingDownstairs" "tBodyGyroJerkMeanY" 26
"1947" 6 "walkingDownstairs" "tBodyGyroJerkMeanZ" 27
"1948" 6 "walkingDownstairs" "tBodyGyroJerkStdX" 28
"1949" 6 "walkingDownstairs" "tBodyGyroJerkStdY" 29
"1950" 6 "walkingDownstairs" "tBodyGyroJerkStdZ" 30
"1951" 6 "walkingDownstairs" "tBodyAccMagMean" 31
"1952" 6 "walkingDownstairs" "tBodyAccMagStd" 32
"1953" 6 "walkingDownstairs" "tGravityAccMagMean" 33
"1954" 6 "walkingDownstairs" "tGravityAccMagStd" 34
"1955" 6 "walkingDownstairs" "tBodyAccJerkMagMean" 35
"1956" 6 "walkingDownstairs" "tBodyAccJerkMagStd" 36
"1957" 6 "walkingDownstairs" "tBodyGyroMagMean" 37
"1958" 6 "walkingDownstairs" "tBodyGyroMagStd" 38
"1959" 6 "walkingDownstairs" "tBodyGyroJerkMagMean" 39
"1960" 6 "walkingDownstairs" "tBodyGyroJerkMagStd" 40
"1961" 6 "walkingDownstairs" "fBodyAccMeanX" 41
"1962" 6 "walkingDownstairs" "fBodyAccMeanY" 42
"1963" 6 "walkingDownstairs" "fBodyAccMeanZ" 43
"1964" 6 "walkingDownstairs" "fBodyAccStdX" 44
"1965" 6 "walkingDownstairs" "fBodyAccStdY" 45
"1966" 6 "walkingDownstairs" "fBodyAccStdZ" 46
"1967" 6 "walkingDownstairs" "fBodyAccJerkMeanX" 47
"1968" 6 "walkingDownstairs" "fBodyAccJerkMeanY" 48
"1969" 6 "walkingDownstairs" "fBodyAccJerkMeanZ" 49
"1970" 6 "walkingDownstairs" "fBodyAccJerkStdX" 50
"1971" 6 "walkingDownstairs" "fBodyAccJerkStdY" 51
"1972" 6 "walkingDownstairs" "fBodyAccJerkStdZ" 52
"1973" 6 "walkingDownstairs" "fBodyGyroMeanX" 53
"1974" 6 "walkingDownstairs" "fBodyGyroMeanY" 54
"1975" 6 "walkingDownstairs" "fBodyGyroMeanZ" 55
"1976" 6 "walkingDownstairs" "fBodyGyroStdX" 56
"1977" 6 "walkingDownstairs" "fBodyGyroStdY" 57
"1978" 6 "walkingDownstairs" "fBodyGyroStdZ" 58
"1979" 6 "walkingDownstairs" "fBodyAccMagMean" 59
"1980" 6 "walkingDownstairs" "fBodyAccMagStd" 60
"1981" 6 "sitting" "tBodyAccMeanX" 1
"1982" 6 "sitting" "tBodyAccMeanY" 2
"1983" 6 "sitting" "tBodyAccMeanZ" 3
"1984" 6 "sitting" "tBodyAccStdX" 4
"1985" 6 "sitting" "tBodyAccStdY" 5
"1986" 6 "sitting" "tBodyAccStdZ" 6
"1987" 6 "sitting" "tGravityAccMeanX" 7
"1988" 6 "sitting" "tGravityAccMeanY" 8
"1989" 6 "sitting" "tGravityAccMeanZ" 9
"1990" 6 "sitting" "tGravityAccStdX" 10
"1991" 6 "sitting" "tGravityAccStdY" 11
"1992" 6 "sitting" "tGravityAccStdZ" 12
"1993" 6 "sitting" "tBodyAccJerkMeanX" 13
"1994" 6 "sitting" "tBodyAccJerkMeanY" 14
"1995" 6 "sitting" "tBodyAccJerkMeanZ" 15
"1996" 6 "sitting" "tBodyAccJerkStdX" 16
"1997" 6 "sitting" "tBodyAccJerkStdY" 17
"1998" 6 "sitting" "tBodyAccJerkStdZ" 18
"1999" 6 "sitting" "tBodyGyroMeanX" 19
"2000" 6 "sitting" "tBodyGyroMeanY" 20
"2001" 6 "sitting" "tBodyGyroMeanZ" 21
"2002" 6 "sitting" "tBodyGyroStdX" 22
"2003" 6 "sitting" "tBodyGyroStdY" 23
"2004" 6 "sitting" "tBodyGyroStdZ" 24
"2005" 6 "sitting" "tBodyGyroJerkMeanX" 25
"2006" 6 "sitting" "tBodyGyroJerkMeanY" 26
"2007" 6 "sitting" "tBodyGyroJerkMeanZ" 27
"2008" 6 "sitting" "tBodyGyroJerkStdX" 28
"2009" 6 "sitting" "tBodyGyroJerkStdY" 29
"2010" 6 "sitting" "tBodyGyroJerkStdZ" 30
"2011" 6 "sitting" "tBodyAccMagMean" 31
"2012" 6 "sitting" "tBodyAccMagStd" 32
"2013" 6 "sitting" "tGravityAccMagMean" 33
"2014" 6 "sitting" "tGravityAccMagStd" 34
"2015" 6 "sitting" "tBodyAccJerkMagMean" 35
"2016" 6 "sitting" "tBodyAccJerkMagStd" 36
"2017" 6 "sitting" "tBodyGyroMagMean" 37
"2018" 6 "sitting" "tBodyGyroMagStd" 38
"2019" 6 "sitting" "tBodyGyroJerkMagMean" 39
"2020" 6 "sitting" "tBodyGyroJerkMagStd" 40
"2021" 6 "sitting" "fBodyAccMeanX" 41
"2022" 6 "sitting" "fBodyAccMeanY" 42
"2023" 6 "sitting" "fBodyAccMeanZ" 43
"2024" 6 "sitting" "fBodyAccStdX" 44
"2025" 6 "sitting" "fBodyAccStdY" 45
"2026" 6 "sitting" "fBodyAccStdZ" 46
"2027" 6 "sitting" "fBodyAccJerkMeanX" 47
"2028" 6 "sitting" "fBodyAccJerkMeanY" 48
"2029" 6 "sitting" "fBodyAccJerkMeanZ" 49
"2030" 6 "sitting" "fBodyAccJerkStdX" 50
"2031" 6 "sitting" "fBodyAccJerkStdY" 51
"2032" 6 "sitting" "fBodyAccJerkStdZ" 52
"2033" 6 "sitting" "fBodyGyroMeanX" 53
"2034" 6 "sitting" "fBodyGyroMeanY" 54
"2035" 6 "sitting" "fBodyGyroMeanZ" 55
"2036" 6 "sitting" "fBodyGyroStdX" 56
"2037" 6 "sitting" "fBodyGyroStdY" 57
"2038" 6 "sitting" "fBodyGyroStdZ" 58
"2039" 6 "sitting" "fBodyAccMagMean" 59
"2040" 6 "sitting" "fBodyAccMagStd" 60
"2041" 6 "standing" "tBodyAccMeanX" 1
"2042" 6 "standing" "tBodyAccMeanY" 2
"2043" 6 "standing" "tBodyAccMeanZ" 3
"2044" 6 "standing" "tBodyAccStdX" 4
"2045" 6 "standing" "tBodyAccStdY" 5
"2046" 6 "standing" "tBodyAccStdZ" 6
"2047" 6 "standing" "tGravityAccMeanX" 7
"2048" 6 "standing" "tGravityAccMeanY" 8
"2049" 6 "standing" "tGravityAccMeanZ" 9
"2050" 6 "standing" "tGravityAccStdX" 10
"2051" 6 "standing" "tGravityAccStdY" 11
"2052" 6 "standing" "tGravityAccStdZ" 12
"2053" 6 "standing" "tBodyAccJerkMeanX" 13
"2054" 6 "standing" "tBodyAccJerkMeanY" 14
"2055" 6 "standing" "tBodyAccJerkMeanZ" 15
"2056" 6 "standing" "tBodyAccJerkStdX" 16
"2057" 6 "standing" "tBodyAccJerkStdY" 17
"2058" 6 "standing" "tBodyAccJerkStdZ" 18
"2059" 6 "standing" "tBodyGyroMeanX" 19
"2060" 6 "standing" "tBodyGyroMeanY" 20
"2061" 6 "standing" "tBodyGyroMeanZ" 21
"2062" 6 "standing" "tBodyGyroStdX" 22
"2063" 6 "standing" "tBodyGyroStdY" 23
"2064" 6 "standing" "tBodyGyroStdZ" 24
"2065" 6 "standing" "tBodyGyroJerkMeanX" 25
"2066" 6 "standing" "tBodyGyroJerkMeanY" 26
"2067" 6 "standing" "tBodyGyroJerkMeanZ" 27
"2068" 6 "standing" "tBodyGyroJerkStdX" 28
"2069" 6 "standing" "tBodyGyroJerkStdY" 29
"2070" 6 "standing" "tBodyGyroJerkStdZ" 30
"2071" 6 "standing" "tBodyAccMagMean" 31
"2072" 6 "standing" "tBodyAccMagStd" 32
"2073" 6 "standing" "tGravityAccMagMean" 33
"2074" 6 "standing" "tGravityAccMagStd" 34
"2075" 6 "standing" "tBodyAccJerkMagMean" 35
"2076" 6 "standing" "tBodyAccJerkMagStd" 36
"2077" 6 "standing" "tBodyGyroMagMean" 37
"2078" 6 "standing" "tBodyGyroMagStd" 38
"2079" 6 "standing" "tBodyGyroJerkMagMean" 39
"2080" 6 "standing" "tBodyGyroJerkMagStd" 40
"2081" 6 "standing" "fBodyAccMeanX" 41
"2082" 6 "standing" "fBodyAccMeanY" 42
"2083" 6 "standing" "fBodyAccMeanZ" 43
"2084" 6 "standing" "fBodyAccStdX" 44
"2085" 6 "standing" "fBodyAccStdY" 45
"2086" 6 "standing" "fBodyAccStdZ" 46
"2087" 6 "standing" "fBodyAccJerkMeanX" 47
"2088" 6 "standing" "fBodyAccJerkMeanY" 48
"2089" 6 "standing" "fBodyAccJerkMeanZ" 49
"2090" 6 "standing" "fBodyAccJerkStdX" 50
"2091" 6 "standing" "fBodyAccJerkStdY" 51
"2092" 6 "standing" "fBodyAccJerkStdZ" 52
"2093" 6 "standing" "fBodyGyroMeanX" 53
"2094" 6 "standing" "fBodyGyroMeanY" 54
"2095" 6 "standing" "fBodyGyroMeanZ" 55
"2096" 6 "standing" "fBodyGyroStdX" 56
"2097" 6 "standing" "fBodyGyroStdY" 57
"2098" 6 "standing" "fBodyGyroStdZ" 58
"2099" 6 "standing" "fBodyAccMagMean" 59
"2100" 6 "standing" "fBodyAccMagStd" 60
"2101" 6 "laying" "tBodyAccMeanX" 1
"2102" 6 "laying" "tBodyAccMeanY" 2
"2103" 6 "laying" "tBodyAccMeanZ" 3
"2104" 6 "laying" "tBodyAccStdX" 4
"2105" 6 "laying" "tBodyAccStdY" 5
"2106" 6 "laying" "tBodyAccStdZ" 6
"2107" 6 "laying" "tGravityAccMeanX" 7
"2108" 6 "laying" "tGravityAccMeanY" 8
"2109" 6 "laying" "tGravityAccMeanZ" 9
"2110" 6 "laying" "tGravityAccStdX" 10
"2111" 6 "laying" "tGravityAccStdY" 11
"2112" 6 "laying" "tGravityAccStdZ" 12
"2113" 6 "laying" "tBodyAccJerkMeanX" 13
"2114" 6 "laying" "tBodyAccJerkMeanY" 14
"2115" 6 "laying" "tBodyAccJerkMeanZ" 15
"2116" 6 "laying" "tBodyAccJerkStdX" 16
"2117" 6 "laying" "tBodyAccJerkStdY" 17
"2118" 6 "laying" "tBodyAccJerkStdZ" 18
"2119" 6 "laying" "tBodyGyroMeanX" 19
"2120" 6 "laying" "tBodyGyroMeanY" 20
"2121" 6 "laying" "tBodyGyroMeanZ" 21
"2122" 6 "laying" "tBodyGyroStdX" 22
"2123" 6 "laying" "tBodyGyroStdY" 23
"2124" 6 "laying" "tBodyGyroStdZ" 24
"2125" 6 "laying" "tBodyGyroJerkMeanX" 25
"2126" 6 "laying" "tBodyGyroJerkMeanY" 26
"2127" 6 "laying" "tBodyGyroJerkMeanZ" 27
"2128" 6 "laying" "tBodyGyroJerkStdX" 28
"2129" 6 "laying" "tBodyGyroJerkStdY" 29
"2130" 6 "laying" "tBodyGyroJerkStdZ" 30
"2131" 6 "laying" "tBodyAccMagMean" 31
"2132" 6 "laying" "tBodyAccMagStd" 32
"2133" 6 "laying" "tGravityAccMagMean" 33
"2134" 6 "laying" "tGravityAccMagStd" 34
"2135" 6 "laying" "tBodyAccJerkMagMean" 35
"2136" 6 "laying" "tBodyAccJerkMagStd" 36
"2137" 6 "laying" "tBodyGyroMagMean" 37
"2138" 6 "laying" "tBodyGyroMagStd" 38
"2139" 6 "laying" "tBodyGyroJerkMagMean" 39
"2140" 6 "laying" "tBodyGyroJerkMagStd" 40
"2141" 6 "laying" "fBodyAccMeanX" 41
"2142" 6 "laying" "fBodyAccMeanY" 42
"2143" 6 "laying" "fBodyAccMeanZ" 43
"2144" 6 "laying" "fBodyAccStdX" 44
"2145" 6 "laying" "fBodyAccStdY" 45
"2146" 6 "laying" "fBodyAccStdZ" 46
"2147" 6 "laying" "fBodyAccJerkMeanX" 47
"2148" 6 "laying" "fBodyAccJerkMeanY" 48
"2149" 6 "laying" "fBodyAccJerkMeanZ" 49
"2150" 6 "laying" "fBodyAccJerkStdX" 50
"2151" 6 "laying" "fBodyAccJerkStdY" 51
"2152" 6 "laying" "fBodyAccJerkStdZ" 52
"2153" 6 "laying" "fBodyGyroMeanX" 53
"2154" 6 "laying" "fBodyGyroMeanY" 54
"2155" 6 "laying" "fBodyGyroMeanZ" 55
"2156" 6 "laying" "fBodyGyroStdX" 56
"2157" 6 "laying" "fBodyGyroStdY" 57
"2158" 6 "laying" "fBodyGyroStdZ" 58
"2159" 6 "laying" "fBodyAccMagMean" 59
"2160" 6 "laying" "fBodyAccMagStd" 60
"2161" 7 "walking" "tBodyAccMeanX" 1
"2162" 7 "walking" "tBodyAccMeanY" 2
"2163" 7 "walking" "tBodyAccMeanZ" 3
"2164" 7 "walking" "tBodyAccStdX" 4
"2165" 7 "walking" "tBodyAccStdY" 5
"2166" 7 "walking" "tBodyAccStdZ" 6
"2167" 7 "walking" "tGravityAccMeanX" 7
"2168" 7 "walking" "tGravityAccMeanY" 8
"2169" 7 "walking" "tGravityAccMeanZ" 9
"2170" 7 "walking" "tGravityAccStdX" 10
"2171" 7 "walking" "tGravityAccStdY" 11
"2172" 7 "walking" "tGravityAccStdZ" 12
"2173" 7 "walking" "tBodyAccJerkMeanX" 13
"2174" 7 "walking" "tBodyAccJerkMeanY" 14
"2175" 7 "walking" "tBodyAccJerkMeanZ" 15
"2176" 7 "walking" "tBodyAccJerkStdX" 16
"2177" 7 "walking" "tBodyAccJerkStdY" 17
"2178" 7 "walking" "tBodyAccJerkStdZ" 18
"2179" 7 "walking" "tBodyGyroMeanX" 19
"2180" 7 "walking" "tBodyGyroMeanY" 20
"2181" 7 "walking" "tBodyGyroMeanZ" 21
"2182" 7 "walking" "tBodyGyroStdX" 22
